target,justification,recommended_title,title_tooltip,url
Bong Joon-ho,"Highest popularity (9.8K avg. votes), high audience rating (7.96), low current collection volume (3 titles)",Mother (2009),"Critically lauded, gripping neo-noir; a fan-favorite title from Bong that would benefit from a 4K UHD boutique release.",https://letterboxd.com/film/mother-2009/
Bong Joon-ho,"Highest popularity (9.8K avg. votes), high audience rating (7.96), low current collection volume (3 titles)",The Host (2006),"Modern classic creature feature, and Bong's international breakout hit, in need of a 4K UHD restoration and release.",https://letterboxd.com/film/the-host/
Bong Joon-ho,"Highest popularity (9.8K avg. votes), high audience rating (7.96), low current collection volume (3 titles)",Snowpiercer (2013),"Bong's American debut, a star-studded sci-fi action parable; 4k UHD release is currently OOP.",https://letterboxd.com/film/snowpiercer/
Billy Wilder,"High popularity (2.2K avg. votes), second highest audience rating (8.11), low current collection volume (3 titles)",Witness for the Prosecution (1957),"Beloved, twist-filled Agatha Christie courtroom mystery in need of a 4K UHD restoration and release.",https://letterboxd.com/film/witness-for-the-prosecution-1957/
Billy Wilder,"High popularity (2.2K avg. votes), second highest audience rating (8.11), low current collection volume (3 titles)",The Lost Weekend (1945),Hard-hitting addiction drama and Best Picture Winner in need of a 4K UHD restoration and release.,https://letterboxd.com/film/the-lost-weekend/
Billy Wilder,"High popularity (2.2K avg. votes), second highest audience rating (8.11), low current collection volume (3 titles)",The Seven Year Itch (1955),Classic Marilyn Monroe rom-com; featuring her most iconic scene and look; shot in Cinemascope and in need for a 4K UHD upgrade.,https://letterboxd.com/film/the-seven-year-itch/
Fritz Lang,"Above average popularity (862 avg. votes), high audience rating (7.69), relatively low current collection volume (4 titles)",Dr. Mabuse Trilogy (1922-1960),Strategic boxset opportunity; pairs a currently OOP major silent classic with its lauded sequel already present in the Collection.,https://letterboxd.com/film/dr-mabuse-the-gambler/
Fritz Lang,"Above average popularity (862 avg. votes), high audience rating (7.69), relatively low current collection volume (4 titles)",The Woman in the Window (1944),Classic Edward G. Robinson starring noir currently OOP in need of a 4K UHD restoration and release.,https://letterboxd.com/film/the-woman-in-the-window/
Fritz Lang,"Above average popularity (862 avg. votes), high audience rating (7.69), relatively low current collection volume (4 titles)",Fury (1936),"Lang's American debut, a Spencer Tracy starring socio-political noir that's still timely and relevant today, yet currently OOP.",https://letterboxd.com/film/fury/
War,"Average popularity (780 avg. votes), highest audience rating (7.52), low current collection volume (75 titles)",Incendies (2010),"Villeneuve's breakout film, a powerful, disturbing fusion of the war and mystery genres, and would benefit from a 4K UHD release.",https://letterboxd.com/film/incendies/
War,"Average popularity (780 avg. votes), highest audience rating (7.52), low current collection volume (75 titles)",Das Boot (1981),Claustrophobic submarine thriller mini-series that was internationally cut to feature length; the full-length masterpeice remains unavailable.,https://letterboxd.com/film/das-boot/
War,"Average popularity (780 avg. votes), highest audience rating (7.52), low current collection volume (75 titles)",Underground (1995),Much lauded cult classic wartime satire that has a recent Blu-ray release already OOP.,https://letterboxd.com/film/underground-1995/
History,"Average popularity (688 avg. votes), second highest audience rating (7.47), low current collection volume (88 titles)",To Live (1994),Deacdes-spanning epic from auteur Zhang Yimou; notoriously hard to track down in the US despite heavy audience demand.,https://letterboxd.com/film/to-live/
History,"Average popularity (688 avg. votes), second highest audience rating (7.47), low current collection volume (88 titles)",Judgment at Nuremberg (1961),Sobering courtroom drama with a star-studded ensemble including Burt Lancaster and Judy Garland; currently OOP.,https://letterboxd.com/film/judgment-at-nuremberg/
History,"Average popularity (688 avg. votes), second highest audience rating (7.47), low current collection volume (88 titles)",Quo Vadis Aida? (2020),"Devasting historical drama on the Srebrenica massacre; one of the decades's most acclaimed films, yet unavailable on home media in any format.",https://letterboxd.com/film/quo-vadis-aida/
Mystery,"High popularity (1070 avg. votes), above average audience rating (7.28), relatively low current collection volume (94 titles)",Memento (2000),"Modern classic, mind-bending neo-noir from Christopher Nolan, one of his few titles not currently available in 4K UHD.",https://letterboxd.com/film/memento/
Mystery,"High popularity (1070 avg. votes), above average audience rating (7.28), relatively low current collection volume (94 titles)",Cache (2005),Much discussed and analyzed mystery from modern master Haneke; has never been available on home media in HD.,https://letterboxd.com/film/cache/
Mystery,"High popularity (1070 avg. votes), above average audience rating (7.28), relatively low current collection volume (94 titles)",Laura (1944),"Classic mystery from Otto Preminger; long OOP with high demand on the secondary market, indicating a a prime candidate for a 4K restoration.",https://letterboxd.com/film/laura/
